# x,top,bottom,cryosphere,recharge
1.135000000000000037e-01,8.155097911549650247e-01,2.359843208273272042e-01,6.772102558663372074e-01,nan
1.145000000000000046e-01,8.161850929453134951e-01,2.364817483506055362e-01,6.779236067881941885e-01,nan
1.155000000000000054e-01,8.168603947356619654e-01,2.370446333339885081e-01,6.786369577100511696e-01,nan
1.165000000000000063e-01,8.178280181007118177e-01,2.379400220937829546e-01,6.793503086319080397e-01,nan
1.175000000000000072e-01,8.188510171167072693e-01,2.388354108535773734e-01,6.800636595537650209e-01,nan
1.185000000000000081e-01,8.198740161327026099e-01,2.397307996133717922e-01,6.807770104756218910e-01,nan
1.195000000000000090e-01,8.208970151486979505e-01,2.406261883731662388e-01,6.814903613974788721e-01,nan
1.204999999999999960e-01,8.219200141646931801e-01,2.415215771329606576e-01,6.822037123193357422e-01,nan
1.214999999999999969e-01,8.229430131806886317e-01,2.424169658927550763e-01,6.829191598259455320e-01,nan
1.224999999999999978e-01,8.239660121966839723e-01,2.433123546525494951e-01,6.836444787853450666e-01,nan
1.234999999999999987e-01,8.249890112126793129e-01,2.442077434123439417e-01,6.843697977447446013e-01,nan
1.244999999999999996e-01,8.260120102286746535e-01,2.451031321721383605e-01,6.850951167041442469e-01,nan
1.255000000000000004e-01,8.270350092446699941e-01,2.459985209319327792e-01,6.858204356635437815e-01,nan
1.265000000000000013e-01,8.280580082606653347e-01,2.468939096917272258e-01,6.865457546229433161e-01,nan
1.275000000000000022e-01,8.290810072766606753e-01,2.477892984515216446e-01,6.872710735823428507e-01,nan
1.285000000000000031e-01,8.301040062926560159e-01,2.486846872113160911e-01,6.879963925417423853e-01,nan
1.295000000000000040e-01,8.311270053086513565e-01,2.495800759711105099e-01,6.887217115011420310e-01,nan
1.305000000000000049e-01,8.321215182844438063e-01,2.504754647309049287e-01,6.894470304605415656e-01,nan
1.315000000000000058e-01,8.328199159557846398e-01,2.513708534906993752e-01,6.901723494199411002e-01,nan
1.325000000000000067e-01,8.335183136271254734e-01,2.522662422504937663e-01,6.908976683793406348e-01,nan
1.335000000000000075e-01,8.342167112984663069e-01,2.531616310102882128e-01,6.916229873387401694e-01,nan
1.345000000000000084e-01,8.349151089698072514e-01,2.540570197700826593e-01,6.923483062981398151e-01,nan
1.355000000000000093e-01,8.356135066411480850e-01,2.549524085298771059e-01,6.930736252575393497e-01,nan
1.365000000000000102e-01,8.363119043124889185e-01,2.558477972896714969e-01,6.937989442169388843e-01,nan
1.375000000000000111e-01,8.370103019838297520e-01,2.567431860494659435e-01,6.945242631763384189e-01,nan
